VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00085,0,0,0,0,0,0,0,0,0,0,0,0,2424,2,57,35,0,3,0,190,0,0,0,0,6,0,0,2,11,1,0,0
VTX00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,11,1,0,0,0,0
VTX00089,5474,11285,22060,24196,2584,15,10113,5394,3187,554,7788,13453,0,5021,5125,1106,8921,5843,4887,9286,678,7585,7690,1200,1902,6400,4462,6095,2997,0,10007,1884
VTX00090,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,44,0,17,0,0,0,0,0,0
VTX00092,1007,0,0,0,0,0,0,0,150,0,7,0,0,2055,620,233,0,832,0,2788,91,445,0,2,866,207,1289,0,11,1217,0,0
VTX00093,3942,689,0,6,0,177,2525,5065,4966,1542,1509,0,9183,0,5445,9391,2667,2388,359,5972,3615,0,4492,576,4224,6262,4568,7714,2251,30,3295,3034
VTX00096,67,0,0,591,0,0,1573,21,3,321,412,0,1399,0,1999,2051,1637,2268,875,3039,15,0,559,5,1440,31,512,3318,520,0,2499,751
VTX00099,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
VTX00100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0
VTX00101,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
VTX00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,3,0,0,2,0,0,0,0,0
VTX00111,0,0,0,0,0,0,0,0,415,0,1,0,0,15,0,229,0,4,0,3,10,0,16,52,601,1765,9041,0,0,0,0,0
VTX00112,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00113,0,0,0,0,0,0,0,0,1,0,0,0,246,1,0,0,0,60,0,0,0,0,7,0,0,5,3218,0,2726,0,0,0
VTX00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,36,0,0,0
VTX00115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0
VTX00118,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VTX00120,0,0,0,0,0,0,0,0,4,0,0,0,0,5306,0,0,0,0,217,44,0,0,0,0,0,0,0,0,1718,3879,0,0
VTX00121,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,0,0
VTX00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,0,0,0,0,0,0,0,0,0,743,0,0,0,0,924,2086
