OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,25,3,1,65,0,50,0,3
CL00842,0,5,0,0,2,0,0,0,0,0,0,12,0,0,6,0,0,0,136,0,0,0,5,0,18,0,0,0,0,0,0,0
CL00846,0,0,0,0,0,0,0,0,0,0,0,4,0,0,119,0,0,0,0,0,0,0,0,0,14,11,7,0,0,0,11,0
CL00855,0,0,0,0,0,1,0,0,0,0,0,11,0,0,75,0,0,0,0,0,0,2,0,12,41,8,1,2,0,0,11,0
CL00863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0
CL00864,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,107
CL00868,0,0,0,0,4,4,13,18,1,4,2,6,0,0,8,3,2,2,5,5,23,24,9,10,6,2,2,1,0,0,4,0
CL00874,0,0,0,6,1,11,12,33,1,6,0,0,0,0,12,0,0,1,1,0,24,30,10,2,0,0,0,0,0,0,1,0
CL00881,0,0,9,0,0,4,0,0,0,0,0,2,29,9,0,16,0,8,0,0,0,0,0,0,0,9,0,0,59,0,1,5
CL00883,0,0,0,0,0,4,0,0,0,0,0,2,19,6,0,0,0,0,0,0,16,6,18,8,0,0,19,31,4,0,0,0
CL00886,0,0,0,0,2,0,0,3,0,3,21,0,0,0,0,0,0,0,0,0,10,10,15,1,21,0,13,13,0,24,0,5
CL00889,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,78,0,0,0,0
CL00894,0,0,0,0,0,0,0,0,1,1,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,111,6,1,6,0,3
CL00902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00903,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,4,0,0,0,0,14,0,6,0,16,0,0,0,21,29,29,4
CL00910,0,0,0,0,0,0,0,0,0,0,0,0,21,5,4,0,0,0,0,0,0,0,0,0,0,12,3,0,57,9,37,3
CL00914,0,0,26,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,63,5,0,0,0,0,0,0,0,0,45,1,0,0
CL00915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,56,5,1,0,0,0,0,0,1,0,0,0,0,0,5,85
CL00920,0,0,52,0,0,1,0,6,0,1,2,0,0,0,0,6,0,0,14,0,0,0,52,0,0,0,0,0,0,0,0,3
CL00930,0,6,0,24,0,1,0,0,2,0,0,0,0,0,0,0,11,29,12,24,0,3,0,0,5,9,3,26,0,0,0,0
CL00931,0,1,22,0,0,0,0,2,0,1,1,4,0,4,20,8,0,0,13,0,0,0,0,2,8,0,0,2,4,12,33,7
CL00933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,15,0,38,0,64,0
CL00939,0,0,0,0,10,0,1,1,1,12,2,0,0,0,0,0,0,0,0,0,3,0,26,6,0,0,45,24,0,0,0,4
CL00942,0,3,0,17,0,0,0,0,7,0,0,1,10,2,11,8,10,0,0,12,0,0,0,0,8,15,4,0,11,6,5,0
CL00945,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,8,0,0,0,0,33,0,0,0,0,37,0,3,61
CL00972,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,7,40,14,3,18,3,7,13,17,7,0,0,0,0
CL00974,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,16,0,2,18,0,0,0,0,0,3,0,0,0,0,39,17,22
CL00975,16,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,33,0,0,0,10,2,41,4,0,0,0,1,0,2,0,0
CL00986,0,0,0,3,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,7,6,55,27,9,3,0,0,0,0,0
CL00994,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0
CL00996,0,5,0,0,0,5,0,9,0,0,0,8,21,10,6,34,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
CL01018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
CL01020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,127
CL01035,0,0,0,0,1,0,80,1,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0
CL01037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
CL01044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0
CL01075,0,0,0,0,0,4,0,0,0,3,0,0,61,0,2,17,0,0,0,0,0,0,0,0,0,6,0,0,8,0,2,5
CL01081,12,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,18,40,27,0,0,0,0,0
CL01088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,109,0,0,0,0,0,0,0
CL01089,0,0,0,0,1,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
CL01091,0,0,0,0,0,0,0,0,0,0,0,0,53,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01104,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,56,0,0,0,0,0,0,0,0,0,0,0,0,14,10,6,2
CL01109,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,21,0,0,0,0,0,0,0,3,0,1,0,0,0,7,49,5
CL01110,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,62,2,20,39,0,0,0,0,0,0,0,0,0,0,0,0
CL01116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
CL01120,10,0,0,4,0,0,0,6,0,0,14,5,0,0,0,0,0,16,11,0,0,0,0,0,5,15,23,4,0,0,0,0
CL01135,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01136,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,0,0
CL01141,0,2,0,0,0,0,0,0,1,0,5,0,5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
CL01142,0,0,0,0,0,0,0,12,0,0,0,0,1,10,0,1,0,0,0,0,1,9,0,0,0,0,5,13,13,2,0,39
CL01148,0,2,0,0,0,4,11,0,3,3,1,0,1,0,12,0,4,7,0,3,0,0,17,0,5,5,0,1,9,1,0,11
