OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00149,0,0,0,3,19,194,70,59,0,90,0,3,0,20,0,0,0,0,0,0,141,216,702,214,3,0,9,139,0,1,0,0
CL00152,0,0,0,0,0,0,0,0,1,0,3,0,35,7,0,13,0,0,18,0,62,11,15,1,0,0,1,9,11,1675,0,1
CL00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,0,0,0
CL00153,0,0,0,0,1,329,2,2,0,0,0,0,0,0,0,0,0,0,0,0,52,238,23,1198,0,0,0,0,0,0,0,0
CL00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,0,0,0,0,0,0,0,0,0,0,0
CL00155,0,0,0,0,0,0,0,58,0,0,0,0,9,58,0,0,0,0,0,0,0,0,0,1689,1,0,0,0,0,0,0,0
CL00156,24,2,5,10,7,67,17,49,8,46,36,4,46,105,62,165,98,2,20,50,67,48,71,20,253,8,32,0,196,135,76,82
CL00157,958,24,0,15,0,0,0,0,0,0,1,10,0,0,0,0,53,603,0,119,0,0,0,0,1,0,0,0,0,0,0,0
CL00158,0,0,0,0,0,0,12,0,3,70,5,2,1094,167,35,0,0,0,0,0,0,0,0,0,0,23,39,66,50,39,8,166
CL00159,0,0,0,0,0,0,0,0,2,0,9,1111,0,0,0,0,0,0,0,0,0,0,0,0,642,3,1,0,0,0,0,0
CL00161,0,0,0,0,0,0,0,0,2,0,2,0,1,419,0,76,0,0,0,0,0,0,0,0,0,6,8,0,518,638,1,92
CL00162,0,6,20,0,11,47,15,91,19,146,3,25,31,221,13,23,55,10,20,28,63,51,53,100,42,2,13,130,134,323,0,59
CL00163,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00164,0,17,0,492,0,61,3,5,2,306,27,5,0,17,39,0,0,18,0,15,22,26,5,56,34,8,99,493,0,0,0,0
CL00165,0,5,8,22,0,0,0,0,0,10,5,7,285,7,321,523,59,1,23,24,0,0,0,0,0,26,8,4,106,99,143,63
CL00166,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,1537,0,0,0,0,0,0,0
CL00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,122,0
CL00168,0,0,0,0,36,27,2,3,0,4,9,0,0,0,0,0,0,0,0,0,67,604,0,0,0,970,8,0,0,0,0,0
CL00169,0,0,0,0,0,0,0,0,0,0,1,31,0,904,0,0,0,0,0,0,0,0,0,0,50,0,0,0,8,702,0,20
CL00170,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00171,0,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00172,4,0,0,20,8,488,12,27,8,41,0,4,0,0,0,0,0,74,36,14,210,280,77,177,69,23,51,56,0,0,0,0
CL00173,0,0,0,287,0,0,0,0,41,0,0,0,0,973,284,28,10,0,1,2,0,0,0,0,0,0,0,0,0,0,48,0
CL00174,0,0,0,6,0,1,4,6,5,155,1141,168,0,0,0,0,0,0,0,0,6,124,16,3,26,0,0,2,0,0,0,1
CL00175,0,0,0,0,0,6,4,0,0,0,0,6,0,18,67,55,0,0,0,0,0,18,899,73,0,0,16,34,0,23,312,120
CL00176,0,0,0,0,0,0,0,0,0,0,169,4,212,0,67,0,0,848,0,0,0,0,0,0,28,144,175,0,0,0,0,0
CL00177,5,0,0,922,0,28,0,41,44,39,7,16,8,3,0,0,11,137,61,71,44,32,7,21,58,9,69,13,0,0,0,0
CL00178,24,3,8,131,0,0,0,0,0,0,0,5,53,0,90,285,125,8,28,266,0,0,0,0,0,0,0,0,102,0,479,36
CL00179,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,4,0,0,0
CL00180,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,0,0,0,0,0,0,0
CL00181,0,62,6,38,62,86,0,62,61,134,54,24,0,0,0,0,36,18,27,303,116,37,156,29,62,104,92,51,0,0,0,0
CL00182,0,0,0,0,0,0,0,0,969,0,56,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,575,0
CL00183,0,16,5,17,0,0,0,0,0,0,0,0,20,79,2,15,212,69,667,156,0,0,0,6,0,9,0,0,211,56,0,36
CL00184,0,0,0,0,0,0,0,0,0,0,0,0,21,0,380,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0
CL00185,0,668,0,26,0,0,0,16,0,0,173,94,0,0,6,0,0,95,0,0,0,0,0,0,156,282,12,0,0,0,0,0
CL00187,0,0,0,0,0,0,0,0,0,1444,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,50,0
CL00186,0,0,0,0,3,0,0,5,7,44,4,1,20,80,0,29,0,0,0,0,98,145,7,3,403,48,204,206,67,98,0,52
CL00188,0,5,0,7,267,60,251,8,103,18,36,47,117,0,50,0,34,0,0,0,89,102,5,22,46,48,86,112,5,0,0,0
CL00189,38,94,43,166,0,8,3,9,58,11,20,4,22,0,0,21,299,145,104,154,7,4,78,3,12,4,30,19,134,0,0,1
CL00190,0,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00191,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0
CL00192,0,0,0,0,113,102,89,154,0,80,1,46,9,0,0,0,0,0,0,0,237,91,40,180,28,5,0,307,0,0,0,0
CL00193,0,0,0,0,0,0,0,0,0,0,0,0,60,611,0,405,0,0,0,0,0,0,0,0,0,0,0,0,253,111,0,36
CL00195,199,70,52,202,0,0,0,0,0,0,0,0,0,0,0,0,56,522,284,71,0,0,0,0,0,0,0,0,0,0,14,0
CL00194,39,173,406,107,0,0,0,0,1,19,51,162,0,0,9,0,2,8,0,23,0,0,0,0,57,63,7,293,0,0,50,0
CL00196,0,1260,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,23,60,0,0,0,0,0,0,0,0,0,0,0,0
CL00197,0,0,16,0,2,4,1,0,0,9,0,3,0,0,11,5,114,58,32,11,356,26,30,226,92,42,48,27,0,219,30,66
CL00198,0,0,0,0,0,0,0,34,52,7,23,840,0,0,0,0,0,0,0,0,0,0,38,66,142,128,93,4,0,0,0,0
CL00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0
CL00200,913,308,38,45,0,8,0,0,0,0,0,0,0,0,0,0,22,35,39,16,0,0,0,0,0,0,0,0,0,0,0,0
