VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00202,0,0,0,0,0,0,0,0,3344,0,663,0,0,3074,257,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,0,0,0
VTX00120,0,0,0,0,0,0,0,0,4,0,0,0,0,4129,0,0,0,0,186,33,0,0,0,0,0,0,0,0,1374,3188,0,0
VTX00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7441,270,346,0,0,0,0,0,0,0,853,0,0,0,0,0
VTX00278,0,1442,0,0,0,0,0,0,0,4387,0,0,0,404,0,0,0,0,930,326,0,0,0,726,0,0,0,0,0,0,0,0
VTX00072,0,0,1642,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,1113,1144,0,0,0,0,0,0,0,0,0,1024,0,533
VTX00403,0,1,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,320,0,0,2,0,1,1,0,53,5109,464,0,0,0,0
VTX00222,0,1175,0,53,0,0,0,0,0,0,0,0,0,0,0,899,0,3,274,1938,0,0,0,0,0,0,0,0,1831,0,0,0
VTX00063,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,1845,0,0,0,0,0,0,0,0,0,0,0,3,1382,221,1530
VTX00113,0,0,0,0,0,0,0,0,1,0,0,0,204,1,0,0,0,53,0,0,0,0,7,0,0,2,2792,0,2150,0,0,0
VTX00312,1,42,0,0,0,66,0,1,0,0,139,0,0,9,4,5,0,850,0,24,1595,8,2,8,2,1404,793,70,1,0,0,0
VTX00399,0,13,10,8,12,83,447,182,27,2,46,71,156,23,5,104,93,144,5,9,168,198,656,2455,14,52,9,10,4,0,0,0
VTX00322,4,0,0,3,0,0,2,0,1,0,2,0,176,0,432,1443,3,101,3,29,0,0,0,2,4,0,0,16,1282,0,1465,1
VTX00410,0,0,0,68,0,0,0,0,0,1224,0,0,0,0,0,0,0,321,2118,473,0,0,0,0,0,509,0,0,0,0,0,0
VTX00210,0,477,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,407,961,0,387,0,0,0,0,0,0,0,0,0,0,701,0
VTX00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,531,0,0,0,0,800,1708
VTX00163,0,0,0,0,0,0,0,0,0,0,1,0,0,1955,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,936
VTX00342,0,0,0,0,0,0,0,0,0,0,446,0,887,2,1515,496,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
VTX00156,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,928,0,2229
VTX00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,0,0,0,2343,0,0,0
VTX00304,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,2734
VTX00364,0,3,0,21,0,0,0,0,0,0,15,0,0,52,1715,661,1,17,0,3,0,0,0,0,103,258,0,0,0,6,2,33
VTX00363,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1207,0,0,0,0,242,0,0,0,1062,5,0,0,0,0
VTX00361,0,0,0,0,1,19,22,84,28,0,55,1054,2,1,4,2,0,2,0,1,0,37,44,118,1012,2,21,6,0,0,2,0
VTX00420,0,826,0,145,0,0,0,0,0,0,0,0,0,0,0,20,0,643,2,844,0,0,0,0,0,0,0,0,11,0,0,0
VTX00132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,242
VTX00219,615,0,0,129,0,0,0,0,0,0,0,0,45,0,503,82,68,349,2,214,0,0,0,0,316,1,0,1,20,0,15,16
VTX00326,0,0,0,0,0,0,0,0,0,0,0,0,359,557,0,30,52,0,0,0,0,0,0,0,0,0,0,0,484,578,10,305
VTX00180,0,0,0,0,0,0,0,0,865,0,0,0,0,0,45,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,949,0
VTX00175,0,0,0,0,0,0,0,0,2,0,0,0,0,0,240,532,946,0,0,0,0,0,0,0,0,0,0,0,509,0,0,10
