OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00303,0,0,0,0,0,0,0,0,0,0,5,0,0,0,175,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,424,0
CL00305,0,0,0,0,0,0,0,0,0,1,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CL00311,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0
CL00312,0,0,0,0,1,104,0,37,0,0,0,1,0,0,0,0,0,0,14,14,98,23,109,7,18,152,0,0,0,0,0,0
CL00316,0,0,0,0,0,0,0,0,0,0,0,0,0,81,10,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
CL00318,0,0,0,0,8,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,72,0,70,15,0,0,0,0,0,0,0
CL00320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,70,18,0,15
CL00321,0,0,0,0,2,0,0,0,0,1,0,0,32,366,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
CL00323,0,0,0,0,0,0,0,0,10,0,1,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
CL00325,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00326,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00329,165,1,303,1,0,0,0,0,0,0,0,0,0,0,0,0,12,19,90,10,0,0,0,0,0,8,3,2,0,0,1,0
CL00330,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00331,0,0,0,0,0,0,0,0,1,14,0,0,24,0,13,7,0,0,0,0,0,0,0,0,3,471,5,3,4,4,0,36
CL00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624
CL00333,0,0,0,0,0,0,0,0,0,0,1,0,11,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4
CL00334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,609
CL00335,0,0,0,0,0,4,0,0,0,0,0,6,0,4,3,0,57,0,38,3,5,32,34,4,136,2,10,112,24,58,0,25
CL00337,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,7,0,0,0,0,0,0,0,0,0,0,41,0,0,0,281,0
CL00339,0,0,0,0,42,44,2,1,0,1,72,19,0,0,0,0,0,0,0,0,33,134,64,20,3,13,14,5,0,0,0,0
CL00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,550
CL00354,5,0,0,0,17,4,147,0,15,12,5,9,175,0,0,0,0,0,0,0,1,3,23,15,8,7,6,21,2,0,0,0
CL00356,6,0,0,9,0,4,2,0,0,24,2,1,5,21,1,22,38,46,16,23,38,2,14,0,20,2,15,43,71,75,0,6
CL00361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0
CL00362,0,0,0,0,222,13,85,16,4,28,4,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00363,0,83,0,69,9,0,6,172,2,11,7,30,3,30,26,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CL00367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527
CL00369,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,107
CL00370,11,0,38,33,0,0,0,0,0,0,0,0,3,0,8,30,47,1,20,269,0,0,0,0,0,0,0,0,1,0,48,1
CL00373,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CL00378,0,4,0,6,11,7,1,5,1,18,2,0,0,0,9,0,47,5,2,0,28,14,91,80,53,58,14,11,0,0,18,0
CL00379,4,32,262,42,0,0,0,0,0,0,0,0,0,0,4,0,79,7,16,59,0,0,0,0,0,0,0,0,0,0,0,0
CL00390,0,0,0,0,32,15,12,65,0,0,135,3,0,81,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0
CL00394,0,0,0,2,0,0,0,0,0,0,0,0,7,53,31,40,3,0,9,4,0,0,0,0,0,0,0,0,4,103,143,18
CL00395,0,0,0,0,0,0,0,0,0,0,0,0,104,12,71,110,0,0,0,0,0,0,0,0,0,0,0,0,64,0,38,20
CL00396,0,0,0,0,0,12,0,31,0,166,1,0,0,0,0,0,0,0,0,0,6,8,24,146,3,0,15,4,0,0,0,0
CL00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
CL00401,0,0,0,0,1,0,2,5,2,1,1,5,3,5,18,8,6,0,0,0,0,65,11,10,49,17,8,14,42,96,4,32
CL00403,0,0,0,2,5,1,10,8,3,77,3,6,4,23,18,70,0,1,0,4,0,8,16,0,5,12,1,50,42,2,21,13
CL00404,30,50,0,17,46,15,89,4,11,5,12,42,16,0,0,8,0,14,7,18,0,7,0,0,5,1,1,4,0,0,0,0
CL00406,0,0,0,0,2,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,59,0,0,0,0,0,0,0,0,0,0
CL00407,8,0,0,0,0,0,0,0,0,0,0,0,0,268,0,24,4,0,0,2,0,0,0,0,0,0,0,0,11,18,8,11
CL00408,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0
CL00419,0,0,0,0,1,3,407,0,0,0,1,10,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1
CL00425,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,46,194,0,89
CL00431,0,0,0,0,0,0,0,0,0,0,0,0,0,49,34,51,0,0,0,0,0,0,0,0,0,0,0,0,56,21,172,10
CL00434,0,2,0,4,10,1,0,3,1,6,0,3,0,0,0,0,22,18,3,22,51,15,17,24,196,0,16,2,0,0,0,0
CL00435,0,0,0,0,31,32,10,11,5,14,1,5,0,16,0,0,0,0,0,0,107,41,23,3,2,6,2,57,0,0,0,0
