OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL02674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0
CL02695,0,0,0,0,0,1,5,4,0,0,0,1,0,0,0,0,0,3,0,0,6,1,1,7,0,1,0,0,0,0,0,0
CL02716,15,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,3,2,1,5,0,0,0,0
CL02726,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
CL02754,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0
CL02769,0,3,0,1,0,0,3,0,0,3,0,0,0,2,0,0,0,7,0,3,0,0,4,0,0,0,0,0,0,0,0,0
CL02777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
CL02791,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02800,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CL02812,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0
CL02822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
CL02854,4,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,7,0,1,0,0,0,0
CL02868,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0
CL02870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,19,0,0,0
CL02881,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
CL02882,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02888,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10,0,0,7,0,0,0,0,0,0
CL02930,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0
CL02936,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
CL02973,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0
CL03004,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0
CL03012,7,0,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,5,0,0,0,0
CL03028,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,5,0,0,0,0,1,0,0,3,0
CL03029,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL03039,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CL03056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
CL03073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
CL03115,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0
CL03142,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,11,2,0,0,0,0,0,0,0,0
CL03147,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,10,0
CL03186,0,0,0,1,0,2,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
CL03198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,2,0,0,0,3
CL03207,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL03212,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0
CL03214,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,1,3,0,6,0,0,0,0
CL03227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL03235,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL03241,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
